file,rule_id,name,taxonomy_level,genre,current_tier,proposed_tier,criterion,rationale,changed
character.json,character_arc_change,Character Arc as Value Change,character,,low,low,T3,keep — 'has not arced' is a verdict about internal change,False
character.json,true_character_vs_characterization,True Character vs. Characterization,character,,low,low,T3,keep — 'is this choice consistent with their values' is interpretive,False
character.json,want_vs_need,Conscious Want vs. Unconscious Need,character,,low,low,T3,keep — the rule's own text says flag as a discussion point,False
character.json,cast_polarization,Cast Polarization,character,,low,low,T3,keep — 'interchangeable function' is a call about character design,False
character.json,character_necessity,Character Necessity,character,,low,low,T3,keep — 'removable without loss' is judged against genre and tone,False
character.json,stc_save_the_cat_scene,Save the Cat Scene,character,,high,medium,T2,a likeability beat is observable; 'likeable' is a quality judgment,True
character.json,egri_character_contradiction,Character Contradiction as Source of Drama,character,,medium,medium,T2,"keep — internal contradiction is a pattern, not a measurable defect",False
character.json,seger_goal_spine,Character Goal as Story Spine,character,,high,medium,T2,'every scene connects to the goal' is a pattern over the whole script,True
character.json,seger_transformation_earned,Character Transformation Must Be Earned,character,,medium,medium,T2,keep — 'earned' leans subjective but the setup/payoff is checkable,False
character.json,martell_supporting_character_function,Supporting Characters Must Serve the Protagonist,character,,high,medium,T2,mapping a supporting character's function is interpretive,True
character.json,hauge_inner_conflict_drives_outer,Inner Conflict Must Drive Outer Conflict,character,,high,medium,T2,linking inner wound to outer plot is an interpretive reading,True
character.json,hauge_identity_transformation,Six-Stage Character Transformation,character,,medium,medium,T2,keep — stage coverage is observable; 'incomplete' is judged,False
character.json,weiland_lie_believed,Every Character Arc Is Driven by a Lie the Character Believes,character,,high,medium,T2,identifying 'the Lie' is an interpretation of character interior,True
character.json,weiland_want_vs_need,The Conflict Between What the Character Wants and What They Need,character,,high,low,T3,the same concept as want_vs_need (low) — the two cannot disagree,True
character.json,weiland_ghost_wound,The Ghost Is the Origin of the Lie,character,,high,medium,T2,the rule itself says the Ghost may be seeded gradually — a judgment,True
character.json,weiland_five_arc_types,"Five Character Arc Types: Positive, Flat, Disillusionment, Fall, Corruption",character,,medium,medium,T2,keep — classifying an arc into five types is interpretive,False
character.json,alderson_character_emotional_development,Track the Character's Emotional Arc Across the Entire Story,character,,high,medium,T2,"tracking an emotional arc is a reading, not a measurement",True
comedy.json,comedy_reel_laugh,Every Reel Needs a Big Laugh,structure_pacing,comedy,high,medium,T2,the reel partition is mechanical; 'a major laugh' is a judgment,True
comedy.json,comedy_start_late_leave_early,"Start Scenes Late, Leave Early",scene,comedy,high,medium,T2,"'unnecessary setup' vs necessary setup is a call, not a test",True
comedy.json,comedy_midpoint_physical_intimacy,Rom-Com Midpoint Physical Intimacy,structure_pacing,comedy,high,medium,T2,midpoint placement is mechanical; 'a milestone' is interpretive,True
comedy.json,comedy_trivial_taken_seriously,Comedy Characters in Tragedy,character,comedy,high,medium,T2,the gravity/reality gap is observable; 'disproportionate' is a judgment,True
comedy.json,comedy_subtext_not_literal,Dialogue Must Have Subtext,dialogue,comedy,high,medium,T2,"same class as on_the_nose_vs_subtext, which is medium",True
comedy.json,comedy_contradictory_characters,Contradictory Character Placements,character,comedy,high,medium,T2,'inherent friction' is a reading of the premise,True
comedy.json,comedy_relationship_difficulty,"If Boy Can Easily Get Girl, No Story",plot_thread,comedy,high,medium,T2,'genuinely difficult' and 'escalating' are judged,True
comedy.json,comedy_death_stakes,Comedy Stakes Are Psychological Death,plot_thread,comedy,high,medium,T2,disproportionate gravity is observable; 'believes they will die inside' is not,True
comedy.json,comedy_exaggeration_mechanism,Exaggeration as Comedic Mechanism,scene,comedy,high,low,T3,'rooted in recognizable truth' is the definition of a taste call,True
comedy.json,comedy_timing_is_everything,Comedic Timing in Scene Length,structure_pacing,comedy,high,low,T3,'long enough / short enough' has no threshold at all,True
comedy.json,comedy_escalation_pattern,Comedy Escalates Through Pattern Breaking,plot_thread,comedy,high,medium,T2,pattern-then-break is observable; 'maximum comedic effect' is not,True
comedy.json,comedy_character_flaws_funny,Character Flaws Create Comedy,character,comedy,high,low,T3,the criterion is literally 'funny',True
continuity.json,prop_continuity,Prop Continuity,continuity,,high,high,T1,keep — a direct contradiction between two explicit statements of state,False
continuity.json,timeline_consistency,Timeline Consistency,continuity,,high,high,T1,keep — time markers either contradict or they do not,False
continuity.json,character_trait_continuity,Character Physical/Biographical Trait Continuity,continuity,,high,high,T1,keep — the rule's own text calls it one of the purely mechanical checks,False
continuity.json,world_rule_consistency_continuity,World-Rule Consistency (Continuity Angle),continuity,,medium,high,T1,"raised from medium: 'does an explicit rule contradict a later explicit event' is exactly the continuity class, and the rule says so itself",True
dialogue.json,on_the_nose_vs_subtext,On-the-Nose Dialogue vs. Subtext,dialogue,,medium,medium,T2,keep — 'on-the-nose' is a pattern requiring a read of intent,False
dialogue.json,exposition_as_ammunition,"Exposition as Ammunition, Not Data Dump",dialogue,,medium,medium,T2,keep — 'does the speaker have an in-scene motive' is interpretive,False
dialogue.json,distinct_character_voice,Distinct Character Voice,dialogue,,low,low,T3,keep — the rule's own text admits stylometry is unreliable here,False
dialogue.json,stc_laying_pipe,Laying Pipe (Exposition Through Action),dialogue,,high,medium,T2,"'feels unnatural' is a judgment, and it duplicates a medium rule",True
dialogue.json,martell_dialogue_is_character,Dialogue Is Character,dialogue,,high,low,T3,the same test as distinct_character_voice (low) — cover the names and read,True
dialogue.json,martell_say_the_opposite,Say the Opposite (Subtext Through Contradiction),dialogue,,high,medium,T2,subtext-through-contradiction is a pattern; 'overuse' is a call,True
dialogue.json,martell_three_line_rule,Three Line Rule (Dialogue Brevity),dialogue,,high,high,T1,keep — 'four or more lines without interruption' is countable,False
dialogue.json,martell_see_and_say_rule,See and Say Rule (Don't Repeat What Was Shown),dialogue,,high,medium,T2,retelling what we just saw is observable; 'pure redundancy' is a call,True
dialogue.json,martell_five_types_bad_exposition,Five Types of Bad Exposition,dialogue,,high,medium,T2,five named patterns are observable; whether one is present is judged,True
dialogue_advanced.json,dialogue_subtext_layers,Dialogue Contains Multiple Subtext Layers,dialogue,,high,medium,T2,duplicates on_the_nose_vs_subtext (medium); the two must agree,True
dialogue_advanced.json,dialogue_rhythm_pacing,Dialogue Rhythm Affects Pacing,dialogue,,high,medium,T2,'does rhythm match emotional intent' is an interpretive read,True
dialogue_advanced.json,dialogue_voice_distinct,Each Character Has Distinct Voice,dialogue,,high,low,T3,duplicates distinct_character_voice (low); the two must agree,True
dialogue_advanced.json,dialogue_conflict_essential,Every Dialogue Scene Needs Conflict,dialogue,,high,medium,T2,competing goals are observable; 'just conversation' is a judgment,True
dialogue_advanced.json,dialogue_purpose_driven,Every Line Must Have Purpose,dialogue,,high,medium,T2,"'every line must serve a purpose' cannot be tested, only argued",True
dialogue_advanced.json,dialogue_exposition_disguised,Exposition Must Be Disguised,dialogue,,high,medium,T2,duplicates exposition_as_ammunition (medium); 'feels natural' is a call,True
dialogue_advanced.json,dialogue_emotional_leakage,Emotions Leak Through Dialogue,dialogue,,high,medium,T2,leakage through word choice is an interpretation of the line,True
dialogue_advanced.json,dialogue_interrupts_overlaps,Interruptions and Overlaps Create Realism,dialogue,,high,medium,T2,interruptions are observable; 'feels authentic' is a judgment,True
dialogue_advanced.json,dialogue_silence_powerful,Silence Can Be Most Powerful Dialogue,dialogue,,high,low,T3,'what is unsaid communicates volumes' is the definition of a taste call,True
dialogue_advanced.json,dialogue_callbacks_payoffs,Dialogue Callbacks Create Cohesion,dialogue,,high,medium,T2,a callback is observable; whether it 'creates meaning' is a call,True
dialogue_advanced.json,dialogue_power_dynamics,Dialogue Reveals Power Dynamics,dialogue,,high,medium,T2,who interrupts whom is observable; the status reading is interpretive,True
dialogue_advanced.json,dialogueGMEMATICultural,Dialogue Reflects Cultural Context,dialogue,,high,medium,T2,'authentic to the character's background' is a judgment (also: the rule id is malformed — see findings),True
drama.json,drama_emotional_authenticity,Emotional Authenticity Over Plot Mechanics,story_macro,drama,high,low,T3,'react authentically' is a verdict about emotional truth,True
drama.json,drama_moral_complexity,Moral Complexity in Character Choices,character,drama,high,low,T3,'genuine moral dilemmas' and 'no easy answers' are taste calls,True
drama.json,drama_internal_conflict_primary,Internal Conflict Drives Drama,plot_thread,drama,high,medium,T2,'is the internal struggle primary' is an interpretive reading,True
drama.json,drama_dialogue_subtext,Dramatic Dialogue Contains Subtext,dialogue,drama,high,medium,T2,duplicates the medium subtext rules,True
drama.json,drama_relationships_drive_plot,Relationships Drive Plot in Drama,plot_thread,drama,high,medium,T2,'feels organic rather than contrived' is a judgment,True
drama.json,drama_stakes_personal,Drama Stakes Are Personal,plot_thread,drama,high,medium,T2,the stakes mode is observable; 'matters emotionally' is a call,True
drama.json,drama_pacing_meditative,Drama Allows Meditative Pacing,structure_pacing,drama,high,low,T3,'adequate time' and 'not rushed' are pace preferences,True
drama.json,drama_transformation_earned,Character Transformation Must Be Earned,character,drama,high,low,T3,'feels false' / 'earned' is the archetypal subjective verdict,True
drama.json,drama_ambiguity_preserved,Drama Preserves Ambiguity,story_macro,drama,high,low,T3,'appropriate ambiguity' is a taste judgment about resolution style,True
drama.json,drama_ensemble_depth,Ensemble Characters Have Depth,character,drama,high,medium,T2,'complete people vs plot functions' is a reading of the supporting cast,True
drama.json,drama_consequences_real,Drama Has Real Consequences,plot_thread,drama,high,medium,T2,lasting consequences are observable; 'real' has no test,True
horror.json,horror_discovery_phase_no_urgency,Discovery Phase Needs Time to Breathe,scene,horror,high,medium,T2,'rushed vs milked for dread' is a pacing judgment,True
horror.json,horror_tone_set_immediately,First Page Sets Horror Tone,story_macro,horror,high,medium,T2,tonal imagery is observable; 'tonally mismatched' is a call,True
horror.json,horror_reel_event_requirement,Every Reel Must Have a Horror Payoff,structure_pacing,horror,high,medium,T2,the partition is mechanical; 'a major horror event' is a judgment,True
horror.json,horror_virgin_archetype,The Virgin Survivor Archetype,character,horror,medium,medium,T2,"keep — the rule itself calls it a convention, not a requirement",False
horror.json,horror_monster_defeat,Central Struggle Against Monster,plot_thread,horror,high,medium,T2,'genuinely overwhelming' and 'survival uncertain' are judged,True
horror.json,horror_stakes_physical_death,Physical Death at Stake,plot_thread,horror,high,high,T1,presence of a stakes mode is a bounded yes/no,False
horror.json,horror_rules_established_early,Horror World Rules Established Early,story_macro,horror,high,medium,T2,the first 10-15 pages are locatable; 'clearly established' is a call,True
horror.json,horror_tension_building,Tension Builds Through Unanswered Questions,structure_pacing,horror,high,medium,T2,withholding is observable; 'builds tension' is a judgment,True
horror.json,horror_atmosphere_over_dialogue,Atmosphere Over Dialogue,scene,horror,high,low,T3,"'enhance, not replace' is an aesthetic verdict",True
horror.json,horror_vulnerability_escalation,Vulnerability Escalates Through Isolation,plot_thread,horror,high,medium,T2,ally attrition is observable; 'increasingly isolated' is a reading,True
horror.json,horror_final_girl_strength,Final Girl Must Earn Survival,character,horror,high,low,T3,'earned rather than arbitrary' is a taste verdict,True
horror.json,horror_ordinary_world_horror,Ordinary World Must Contrast Horror,story_macro,horror,high,medium,T2,the ordinary-world setup is observable; 'contrast' is a reading,True
mystery.json,mystery_clue_game,Riddle as Game Between Writer and Audience,story_macro,mystery,high,medium,T2,clue intervals are observable; 'fair but challenging' is a judgment,True
mystery.json,mystery_foreshadowed_surprises,Surprises Must Be Foreshadowed,plot_thread,mystery,high,medium,T2,setup for a twist is locatable; 'adequately foreshadowed' is a call,True
mystery.json,mystery_logline_clarity,Mystery Logline Must Be Clear,story_macro,mystery,high,medium,T2,"'articulable in one sentence' is a test on the logline, not the script",True
mystery.json,mystery_reveal_timing,Explanation Before Climax,structure_pacing,mystery,high,medium,T2,the reveal position is locatable; 'enough time to process' is a call,True
mystery.json,mystery_red_herrings,Red Herrings Must Be Fair,plot_thread,mystery,high,low,T3,"'fair, not cheating' and 'satisfying' are reader-experience verdicts",True
mystery.json,mystery_detective_competence,Detective Must Be Competent,character,mystery,high,medium,T2,investigative acts are observable; 'competent' is a judgment,True
mystery.json,mystery_stakes_personal,Mystery Stakes Must Be Personal,plot_thread,mystery,high,medium,T2,personal stakes are observable; 'emotional investment' is a call,True
mystery.json,mystery_atmosphere_tension,Mystery Atmosphere Creates Tension,scene,mystery,high,low,T3,'appropriate atmosphere' is a mood verdict,True
mystery.json,mystery_solution_satisfying,Mystery Solution Must Be Satisfying,story_macro,mystery,high,low,T3,the rule is named 'Must Be Satisfying' — the definition of subjective,True
mystery.json,mystery_pacing_controlled,Mystery Pacing Is Controlled,structure_pacing,mystery,high,low,T3,'rushing or dragging' is a pace preference,True
mystery.json,mystery_multiple_suspects,Multiple Suspects Create Depth,character,mystery,high,medium,T2,suspect count is observable; 'each is plausible' is a judgment,True
pitch.json,stc_logline_four_requirements,Logline Must Meet Four Requirements,pitch,,high,high,T1,"keep — four named elements, present or absent; a checklist",False
pitch.json,beaty_logline_needs_act_two,Logline Must Indicate Act Two (The Journey),pitch,,high,medium,T2,'does it convey the journey' is a reading of the logline,True
pitch.json,beaty_logline_specific_detail,"Logline Needs Specific, Not Generic, Detail",pitch,,high,medium,T2,generic vs specific nouns is observable; 'lazy' is a judgment,True
plot_thread.json,chekhovs_gun,Chekhov's Gun,plot_thread,,medium,medium,T2,keep — the rule itself requires filtering emphasis from set-dressing,False
plot_thread.json,setup_payoff_general,General Setup and Payoff,plot_thread,,low,low,T3,keep — the rule's own text says flag as a discussion point,False
plot_thread.json,subplot_resonance_or_contradiction,Subplot Function (Resonance or Contradiction),plot_thread,,low,low,T3,keep — thematic relation is the most interpretive of readings,False
plot_thread.json,progressive_complications_no_repetition,Progressive Complications Without Repetition,plot_thread,,low,low,T3,keep — 'compounds or merely repeats' is a structural judgment,False
plot_thread.json,no_coincidental_resolution,No Coincidental Resolution,plot_thread,,medium,medium,T2,"keep — 'was the mechanism set up earlier' is checkable, genre-dependent",False
plot_thread.json,egri_character_incontrovertible,Character in Incontrovertible Confrontation,plot_thread,,medium,medium,T2,keep — 'could walk away' vs 'rooted in who they are' is interpretive,False
plot_thread.json,seger_subplot_resonance,Subplots Must Resonate with Main Plot,plot_thread,,high,medium,T2,same test as subplot_resonance_or_contradiction; the two must agree,True
plot_thread.json,martell_four_ds,"The Four Ds: Inside Moves (Dilemma, Denial, Decision, Drama)",plot_thread,,high,medium,T2,stage coverage is observable; 'genuine dilemmas' is a judgment,True
plot_thread.json,martell_plants_and_payoffs,Plants Must Pay Off,plot_thread,,high,medium,T2,the same setup/payoff test as chekhovs_gun (medium),True
plot_thread.json,hauge_five_stakes_levels,Five Levels of Stakes,plot_thread,,high,medium,T2,counting stake levels is observable; 'too small' is a judgment,True
plot_thread.json,lyons_story_spine,"The Story Spine (Because of That, Not And Then)",plot_thread,,high,medium,T2,"'could this scene be removed' is a causality argument, not a test",True
plot_thread.json,alderson_cause_and_effect_scenes,Scenes Must Be Linked by Cause and Effect,plot_thread,,high,medium,T2,same causality argument as lyons_story_spine,True
plot_thread.json,cron_external_plot_spur,The External Plot Must Spur the Internal Struggle,plot_thread,,high,medium,T2,linking plot events to the internal misbelief is an interpretive reading,True
power_dynamics.json,power_law_out_of_sight,"Out of Sight, Out of Mind",psychology,,high,medium,T2,deliberate absence is observable; 'weaponized' is an inference,True
power_dynamics.json,power_conceal_intentions,Conceal Your Intentions,psychology,,high,medium,T2,hidden purpose is observable; the manipulative reading is a judgment,True
power_dynamics.json,power_boldness_boldness,"Be Bold, Be Bold",psychology,,medium,medium,T2,keep — a risky action is observable; 'strategic vs reckless' is a call,False
power_dynamics.json,power_selective_honesty,Selective Honesty and Generosity,psychology,,high,medium,T2,the kind act is observable; 'part of a larger pattern' is an inference,True
power_dynamics.json,power_play_to_fantasies,Play to People's Fantasies,psychology,,high,medium,T2,'appeals to fantasy rather than evidence' is a reading,True
power_dynamics.json,power_reputation,Guard Your Reputation,psychology,,high,medium,T2,reputation management is observable; 'extreme' is a judgment,True
power_dynamics.json,power_crush_sentimentality,Crush Sentimentality,psychology,,medium,medium,T2,keep — a cold choice is observable; 'wrong choice' is the narrative's call,False
psychology.json,cron_story_is_internal_struggle,"Story Is the Internal Struggle, Not the External Plot",psychology,,high,medium,T2,linking events to an internal change is an interpretive reading,True
psychology.json,cron_before_story_starts,Every Story Begins In Medias Res of the Inner Story,psychology,,high,medium,T2,'no visible wound' is a reading of absence — always a judgment,True
psychology.json,bell_fictive_dream,The Goal Is the Fictive Dreamâ€”Transport the Reader,psychology,,high,low,T3,'authorial presence' and 'sustains the dream' are taste verdicts,True
psychology.json,cognitive_bias_anchoring,Anchoring Effect,psychology,,high,medium,T2,'disproportionately influenced' has no threshold; it is a reading,True
psychology.json,cognitive_bias_confirmation,Confirmation Bias,psychology,,high,medium,T2,selective noticing is observable; 'filtering evidence' is an inference,True
psychology.json,cognitive_bias_availability,Availability Heuristic,psychology,,high,medium,T2,'dramatically overestimates' is a judgment about a character's reasoning,True
psychology.json,cognitive_bias_loss_aversion,Loss Aversion,psychology,,high,medium,T2,"'far past the point of reason' is a verdict, not a test",True
psychology.json,cognitive_bias_sunk_cost,Sunk Cost Fallacy,psychology,,high,medium,T2,the stated rationale is observable; whether it is the fallacy is a call,True
psychology.json,cognitive_bias_fundamental_attribution,Fundamental Attribution Error,psychology,,high,medium,T2,the double standard is observable; 'genuinely accurate' is a judgment,True
psychology.json,cognitive_bias_halo_effect,Halo Effect,psychology,,high,medium,T2,'no logical connection' is an argument about the narrative's logic,True
psychology.json,manipulation_anchoring_persuasion,Anchoring in Persuasion,psychology,,high,medium,T2,the outrageous opening offer is observable; intent is inferred,True
psychology.json,manipulation_gaslighting,Gaslighting,psychology,,high,medium,T2,repeated denial is observable; the pattern claim is interpretive,True
psychology.json,manipulation_isolation,Isolation as Control,psychology,,high,medium,T2,discouraging contact is observable; 'strategic vs situational' is a call,True
psychology.json,manipulation_love_bombing,Love Bombing,psychology,,high,medium,T2,intensity is observable; 'genuine vs performative' is a judgment,True
psychology.json,manipulation_foot_in_door,Foot-in-the-Door Technique,psychology,,high,medium,T2,escalating asks are observable; 'harmless vs deliberate' is a call,True
psychology.json,manipulation_scarcity,Scarcity Principle,psychology,,high,medium,T2,'artificial urgency' requires inferring the character's intent,True
psychology.json,profiling_baseline_shift,Baseline-to-Shift Detection,psychology,,high,medium,T2,a deviation from baseline is observable; the internal cause is inferred,True
psychology.json,profiling_deception_indicators,Deception Indicator Clusters,psychology,,high,medium,T2,the clusters are observable; deception itself is never provable from text,True
psychology.json,profiling_dominance_posture,Dominance and Submission Postures,psychology,,high,medium,T2,posture is observable; the power reading is interpretive,True
psychology.json,profiling_emotional_triggers,Emotional Trigger Mapping,psychology,,high,medium,T2,'disproportionate' is the judgment; the reaction itself is observable,True
psychology.json,psych_big_five_trait,Big Five Personality Traits,psychology,,high,medium,T2,assigning an OCEAN profile is an interpretation of behaviour,True
psychology.json,psych_social_learning,Social Learning Theory,psychology,,medium,medium,T2,keep — imitating a model is observable; 'internalised' is inferred,False
psychology.json,psych_maslow_hierarchy,Maslow's Hierarchy of Needs,psychology,,high,medium,T2,the need shift is observable; which rung is at stake is a reading,True
psychology.json,psych_cognitive_dissonance,Cognitive Dissonance,psychology,,high,medium,T2,'rationalises a choice they know is wrong' requires reading interiority,True
psychology.json,psych_classical_conditioning,Classical Conditioning,psychology,,medium,medium,T2,keep — a conditioned response is observable; the pairing is inferred,False
psychology.json,psych_operant_conditioning,Operant Conditioning and Reinforcement Schedules,psychology,,high,medium,T2,'clearly being shaped' is a judgment about causality,True
psychology.json,psych_eros Thanatos,Eros vs. Thanatos (Life and Death Drives),psychology,,medium,medium,T2,keep — a Freudian reading; the rule id is also malformed (see findings),False
psychology.json,criminal_psychopathy_traits,Psychopathic Personality Traits,psychology,,high,medium,T2,diagnosing a personality disorder from a script is a clinical judgment,True
psychology.json,criminal_psychopathy_mask,The Psychopathic Mask of Sanity,psychology,,high,medium,T2,'mask slips only when unobserved' is an inference about private moments,True
psychology.json,criminal_antisocial_pattern,Antisocial Behavior Pattern,psychology,,high,medium,T2,"'persistent pattern across contexts' is a diagnostic threshold, not a test",True
psychology.json,criminal_offender_profiling,Crime Scene Personality Indicators,psychology,,medium,medium,T2,keep — the rule itself says flag only when the evidence is unambiguous,False
psychology.json,shadow_concept,The Shadow Self,psychology,,high,low,T3,'the rejected part of the self' is a depth-psychology interpretation,True
psychology.json,shadow_projection,Shadow Projection,psychology,,high,low,T3,'we see in others what we deny in ourselves' cannot be tested from text,True
psychology.json,shadow_denial_destruction,Shadow Denial Leads to Destruction,psychology,,high,low,T3,the dam-break reading is a psychoanalytic verdict,True
psychology.json,shadow_integration,Shadow Integration,psychology,,high,low,T3,'superficial integration' is an unfalsifiable quality call,True
psychology.json,enneagram_core_motivation,Enneagram Core Motivation and Fear,psychology,,medium,medium,T2,keep — a single underlying fear is an interpretive through-line,False
psychology.json,enneagram_stress_direction,Enneagram Stress and Growth Directions,psychology,,medium,medium,T2,keep — typing behaviour under stress is interpretive,False
psychology.json,enneagram_wing_influence,Enneagram Wing Influence,psychology,,low,low,T3,keep — the rule itself says it needs expert knowledge to identify,False
psychology.json,enneagram_vice_passion,Enneagram Vice and Passion,psychology,,medium,medium,T2,keep — the chronic emotional lens is an interpretive pattern,False
psychology.json,enneagram_blind_spot,Enneagram Blind Spot,psychology,,medium,medium,T2,keep — a blind spot is inferred from what the character fails to notice,False
psychology.json,jung_introversion_extraversion,Introversion-Extraversion Spectrum,psychology,,high,medium,T2,energy direction is inferred; the rule itself warns against conflating skill,True
psychology.json,jung_four_functions,Four Psychological Functions,psychology,,medium,medium,T2,keep — a dominant cognitive function is an interpretive claim,False
psychology.json,jung_persona_shadow,Persona vs. Shadow,psychology,,high,medium,T2,the persona crack is observable; the Shadow reading is interpretive,True
psychology.json,jung_individuation,Individuation as Character Arc,psychology,,high,medium,T2,'toward integration' is a reading of the arc's direction,True
psychology.json,jung_compensation,Psychic Compensation,psychology,,medium,medium,T2,"keep — an unconscious origin is asserted, not observable",False
psychology.json,jung_collective_unconscious,Collective Unconscious and Archetypes,psychology,,medium,medium,T2,keep — archetype recognition is inherently interpretive,False
psychology.json,stress_personality_default,Default Stress Response Pattern,psychology,,high,medium,T2,regression under stress is observable; 'core vulnerability' is inferred,True
psychology.json,stress_understress_behavior,Uncharacteristic Under-Stress Behavior,psychology,,high,medium,T2,'surprises everyone including themselves' is a judgment about character,True
relationship.json,antagonist_force_balance,Antagonistic Force of Comparable Power,relationship,,low,low,T3,keep — 'credible pressure' and 'earned' are verdicts,False
relationship.json,relationship_dynamic_consistency,Relationship Dynamic Consistency,relationship,,low,low,T3,keep — 'significant' change between scenes is a judgment of degree,False
revision.json,epps_revision_first_draft,"First Draft Is Discovery, Not Perfection",revision,,medium,medium,T2,"keep — a process rule, judged from the draft's surface",False
revision.json,epps_rewrite_distance,Rewriting Requires Emotional Distance,revision,,medium,medium,T2,"keep — a process rule; the sig reads symptoms, not a test",False
revision.json,stein_four_dangers_of_telling,"Four Danger Areas of Telling: Backstory, Description, Setting, Emotion",revision,,high,high,T1,"keep — the sig is a lexical pattern ('She felt...', 'He remembered...')",False
revision.json,zinsser_dump_the_clutter,Dump the Clutterâ€”Every Word Must Earn Its Place,revision,,high,high,T1,keep — qualifier/redundancy lists are greppable,False
romance.json,romance_adult_children_opening,Lovers Introduced as Adult Children,story_macro,romance,high,low,T3,a dubious 'almost always' convention; asserting it would be dishonest,True
romance.json,romance_theme_love,Theme Must Be Love-Related,story_macro,romance,high,medium,T2,'is the theme love-related' is a reading of the thematic through-line,True
romance.json,romance_midpoint_no_return,Midpoint as Point of No Return,structure_pacing,romance,high,medium,T2,midpoint placement is mechanical; 'a milestone' is interpretive,True
romance.json,romance_trivial_stakes_comedy,Romance Stakes Must Feel Life-or-Death,plot_thread,romance,high,medium,T2,disproportionate gravity is observable; 'believes it matters' is not,True
romance.json,romance_psychological_death_stakes,Psychological Death as Romance Stakes,plot_thread,romance,high,medium,T2,'feels genuinely life-altering' is a judgment,True
romance.json,romance_enemies_to_lovers,Enemies-to-Lovers Requires Genuine Friction,plot_thread,romance,high,medium,T2,'genuine friction vs contrived misunderstanding' is a call,True
romance.json,romance_third_act_breakup,Third Act Breakup Must Be Earned,structure_pacing,romance,high,medium,T2,"'caused by internal flaw, not external misunderstanding' is a reading",True
romance.json,romance_grand_gesture,Grand Gesture Must Be Personal,scene,romance,high,low,T3,"'personal, not generic' and 'earned' are taste verdicts",True
romance.json,romance_complementary_flaws,Romantic Leads Have Complementary Flaws,character,romance,high,medium,T2,'flaws that complement' is an interpretation of character design,True
romance.json,romance_emotional_vulnerability,Emotional Vulnerability Required,character,romance,high,medium,T2,vulnerability is observable; 'risks emotional exposure' is a reading,True
romance.json,romance_satisfying_resolution,Romance Resolution Must Be Satisfying,story_macro,romance,high,high,T1,keep — the sig reduces to a bounded check: does the couple end together,False
scene.json,scene_must_turn,Every Scene Must Turn,scene,,medium,medium,T2,"keep — the value shift is a reading, but a narrow and well-specified one",False
scene.json,goal_conflict_disaster,"Scene Structure: Goal, Conflict, Disaster",scene,,medium,medium,T2,keep — identifying goal/opposition/outcome is a bounded per-scene read,False
scene.json,obligatory_scene,The Obligatory Scene,scene,,low,low,T3,"keep — the rule itself says flag for discussion, not as a defect",False
scene.json,enter_late_leave_early,"Enter Late, Leave Early",scene,,low,low,T3,keep — 'skippable padding' is a taste call,False
